Bar Bingo | 5-8 Club - Maplewood | Maplewood | Monday | 7:00PM
Bar Bingo | 1029 Bar | Minneapolis | Tuesday | 6:30PM
Bar Bingo | 1029 Bar | Minneapolis | Saturday | 2:00PM
Meat Raffle | 1029 Bar | Minneapolis | Friday | 5:30PM
Karoke | 1029 Bar | Minneapolis | Wednesday | 
Karoke | 1029 Bar | Minneapolis | Thursday | 
Karoke | 1029 Bar | Minneapolis | Friday | 
Karoke | 1029 Bar | Minneapolis | Saturday | 
Karoke | 1029 Bar | Minneapolis | Sunday |
Bar Bingo | 201 Tavern & Grill | Anoka | Monday | 6:30PM
Bar Bingo | 201 Tavern & Grill | Anoka | Wednesday | 6:30PM
Bar Bingo | 201 Tavern & Grill | Anoka | Thursday | 6:30PM
Bar Bingo | 201 Tavern & Grill | Anoka | Saturday | 1:00PM
Bar Bingo | 5-8 Club - Champlin | Champlin | Thursday | 7:00PM
Bar Bingo | Alibi Drinkery | Lakeville | Monday |
Bar Bingo | American Legion 102 | Anoka | Tuesday |
Bar Bingo | American Legion 102 | Anoka | Friday |
Bar Bingo | American Legion 102 | Anoka | Sunday |
Meat Raffle | American Legion 102 | Anoka | Friday |
Bar Bingo | American Legion 112 | Elk River | Wednesday | 6:30PM
Meat Raffle | American Legion 112 | Elk River | Friday | 5:00PM
Karaoke | American Legion 112 | Elk River | Thursday |
Bar Bingo | American Legion 164 | Stewartville | Wednesday |
Bar Bingo | American Legion 168 | White Bear Lake | Saturday | 1:00PM
Texas Hold'em | American Legion 168 | White Bear Lake | Wednesday | 7:00PM
Texas Hold'em | American Legion 168 | White Bear Lake | Sunday | 4:00PM
Karaoke | American Legion 168 | White Bear Lake | Friday | 9:00PM
Karaoke | American Legion 168 | White Bear Lake | Saturday | 9:00PM
Bar Bingo | American Legion 172 | Osseo/Maple Grove | Monday | 6:30PM
